identifier_original	identifier_novel	name_original	name_novel	hmdb_novel	hmdb_error	pubchem_novel	pubchem_error	custom	note
BIOMASS	null							TRUE	
MNXM46583	MNXM46583	CE(16:0)	Cholesteryl palmitate	HMDB0000885		246520		TRUE	
MNXM46578	MNXM46578	CE(18:2(9Z,12Z))	1-Linoleoyl-cholesterol	HMDB0000610		5287939		TRUE	identifier for metabolomic measurement data set
MNXM165	MNXM165	maltose	D-Maltose	HMDB0000163		10991489		TRUE	
MNXM165	MNXM165	D-Maltose	D-Maltose	HMDB0037138		439341		TRUE	
MNXM165	MNXM165	D-Maltose	D-Maltose			6255		TRUE	identifier for metabolomic measurement data set
MNXM165	MNXM165	D-Maltose	D-Maltose			439186		TRUE	identifier for metabolomic measurement data set
MNXM468	MNXM468	alpha-maltotriose	Maltotriose	HMDB0001262		439586		TRUE	identifier for metabolomic measurement data set
MNXM461	MNXM461	L-Arabinose	L-Arabinose	HMDB0000646		439195		TRUE	
MNXM461	MNXM461	L-Arabinose	L-Arabinose			229		TRUE	identifier for metabolomic measurement data set
MNXM469	MNXM469	Sorbitol	Sorbitol	HMDB0000247		5780		TRUE	
MNXM469	MNXM469	Sorbitol	Sorbitol			453		TRUE	identifier for metabolomic measurement data set
MNXM11	MNXM11	Pyrophosphate	Pyrophosphate	HMDB0000250		1023		TRUE	identifier for metabolomic measurement data set
MNXM11	MNXM11	Pyrophosphate	Pyrophosphate			644102		TRUE	
MNXM510	MNXM510	D-Xylitol	D-Xylitol	HMDB0002917		6912		TRUE	
MNXM510	MNXM510	D-Xylitol	D-Xylitol			827		TRUE	identifier for metabolomic measurement data set
MNXM57	MNXM57	glutathione	Glutathione	HMDB0000125		124886		TRUE	
MNXM57	MNXM57	Glutathione	Glutathione	HMDB0062697		745		TRUE	
MNXM57	MNXM57	Glutathione	Glutathione			448106		TRUE	
MNXM151	MNXM151	glutathione disulfide	Oxidized glutathione	HMDB0003337		975		TRUE	
MNXM151	MNXM151	Oxidized glutathione	Oxidized glutathione			65359		TRUE	identifier for metabolomic measurement data set
MNXM730	MNXM730	N-acetyl-L-glutamate(2-)	N-Acetylglutamic acid	HMDB0001138		185		TRUE	
MNXM730	MNXM730	N-Acetylglutamic acid	N-Acetylglutamic acid			70914		TRUE	identifier for metabolomic measurement data set
MNXM135	MNXM135	Arachidonic acid	Arachidonic acid	HMDB0001043		444899		TRUE	
MNXM135	MNXM135	Arachidonic acid	Arachidonic acid	HMDB0060102				TRUE	
MNXM135	MNXM135	Arachidonic acid	Arachidonic acid			5312542		TRUE	identifier for metabolomic measurement data set
MNXM292	MNXM292	Squalene	Squalene	HMDB0000256		11975273		TRUE	
MNXM292	MNXM292	Squalene	Squalene			638072		TRUE	identifier for metabolomic measurement data set
MNXM118	MNXM118	Putrescine	Putrescine	HMDB0001414		1045		TRUE	identifier for metabolomic measurement data set
MNXM684	MNXM684	L-Pipecolic acid	L-Pipecolic acid	HMDB0000716		439227		TRUE	
MNXM684	MNXM684	L-Pipecolic acid	L-Pipecolic acid			736316		TRUE	identifier for metabolomic measurement data set
MNXM2053	MNXM2053	(S)-3-aminoisobutyric acid zwitterion	(S)-b-aminoisobutyric acid	HMDB0002166		439434		TRUE	
MNXM2053	MNXM2053	(S)-b-aminoisobutyric acid	(S)-b-aminoisobutyric acid			64956		TRUE	identifier for metabolomic measurement data set
MNXM786	MNXM786	(R)-3-aminoisobutyric acid zwitterion	(R)-b-aminoisobutyric acid	HMDB0002299		5459822		TRUE	
MNXM786	MNXM786	(R)-b-aminoisobutyric acid	(R)-b-aminoisobutyric acid			64956		TRUE	identifier for metabolomic measurement data set
MNXM1034	MNXM1034	3-hydroxy-2-methylpropanoyl-CoA	(S)-3-Hydroxyisobutyryl-CoA	HMDB0001052		88		TRUE	
MNXM90341	MNXM446	(S)-3-hydroxybutanoyl-CoA	(3S)-hydroxybutanoyl-CoA					TRUE	redundant record in MetaNetX
MNXM446	MNXM446	(3S)-hydroxybutanoyl-CoA	(3S)-hydroxybutanoyl-CoA		HMDB0001052		88	TRUE	
MNXM446	MNXM446	(3S)-hydroxybutanoyl-CoA	(S)-3-Hydroxybutyryl-CoA	HMDB0062259		439419		TRUE	
MNXM446	MNXM446	(S)-3-Hydroxybutyryl-CoA	(S)-3-Hydroxybutyryl-CoA	HMDB0001166		440045		TRUE	
MNXM1058	MNXM1058	(3R)-hydroxybutanoyl-CoA	(R)-3-Hydroxybutyryl-CoA			45266552		TRUE	
MNXM1058	MNXM1058	(R)-3-Hydroxybutyryl-CoA	(R)-3-Hydroxybutyryl-CoA	HMDB0001166		440045		TRUE	
MNXM2063	MNXM2063	D-Myo-inositol 4-phosphate	D-Myo-inositol 4-phosphate	HMDB0001313		440043		TRUE	identifier for metabolomic measurement data set
MNXM127	MNXM127	myo-Inositol	myo-Inositol	HMDB0000211		892		TRUE	identifier for metabolomic measurement data set
MNXM66	MNXM66	Glycerol 3-phosphate	Glycerol 3-phosphate	HMDB0000126		439162		TRUE	
MNXM66	MNXM66	Glycerol 3-phosphate	Glycerol 3-phosphate			754		TRUE	identifier for metabolomic measurement data set
MNXM364	MNXM364	Pantothenic acid	Pantothenic acid	HMDB0000210		6613		TRUE	identifier for metabolomic measurement data set
MNXM364	MNXM364	Pantothenic acid	Pantothenic acid			988		TRUE	
MNXM55	MNXM55	L-Cysteine	L-Cysteine	HMDB0000574		5862		TRUE	
MNXM55	MNXM55	L-Cysteine	L-Cysteine			594		TRUE	identifier for metabolomic measurement data set
MNXM147	MNXM147	L-Asparagine	L-Asparagine	HMDB0000168		6267		TRUE	
MNXM147	MNXM147	L-Asparagine	L-Asparagine			236		TRUE	identifier for metabolomic measurement data set
MNXM210	MNXM210	Enol-phenylpyruvate	Enol-phenylpyruvate	HMDB0012225		641637		TRUE	
MNXM210	MNXM210	Enol-phenylpyruvate	Enol-phenylpyruvate			997		TRUE	identifier for metabolomic measurement data set
MNXM285	MNXM285	D-Lactic acid	D-Lactic acid		HMDB0000190		107689	TRUE	
MNXM285	MNXM285	D-Lactic acid	D-Lactic acid	HMDB0001311		61503		TRUE	
MNXM285	MNXM285	D-Lactic acid	D-Lactic acid			612		TRUE	identifier for metabolomic measurement data set
MNXM179	MNXM179	L-Lactic acid	L-Lactic acid		HMDB0001311		61503	TRUE	
MNXM179	MNXM179	L-Lactic acid	L-Lactic acid	HMDB0000190		107689		TRUE	
MNXM179	MNXM179	L-Lactic acid	L-Lactic acid			612		TRUE	identifier for metabolomic measurement data set
MNXM98	MNXM98	L-Malic acid	L-Malic acid	HMDB0000156		222656		TRUE	
MNXM98	MNXM98	L-Malic acid	L-Malic acid			525		TRUE	
MNXM41	MNXM41	D-Glucose	D-Glucose	HMDB0000122		5793		TRUE	
MNXM41	MNXM41	D-Glucose	D-Glucose			64689		TRUE	identifier for metabolomic measurement data set
MNXM41	MNXM41	D-Glucose	D-Glucose			107526		TRUE	identifier for metabolomic measurement data set
